,TRASH_ADDRESS,TRASH_GEO_X,TRASH_GEO_Y,TRASH_ID,TRASH_VOLUME,TIME_CLEAN_TRASH,TRASH_DATA_CR,REGION,TRASH_FLAG
0,"город Москва, 3-я Рыбинская улица, дом 1",37.660237,55.791337,4,3,10,2022-08-26,2,0
1,"город Москва, улица Сокольнический Вал, дом 24, корпус 1",37.661796,55.79197,5,3,10,2022-08-26,2,0
2,"город Москва, 3-я Рыбинская улица, дом 21, корпус 1",37.661937,55.790319,6,3,10,2022-08-26,2,0
3,"город Москва, 3-я Рыбинская улица, дом 21, корпус 3",37.664077,55.789289,10,3,10,2022-08-26,4,0
4,"город Москва, улица Лобачика, дом 23, корпус 1",37.665859,55.789838,11,3,10,2022-08-26,4,0
5,"город Москва, улица Шумкина, дом 1/26",37.666557,55.791364,12,3,10,2022-08-26,4,0
6,"город Москва, Старослободский переулок, дом 4",37.66721,55.790589,13,3,10,2022-08-26,5,0
7,"город Москва, Старослободский переулок, дом 4А",37.668849,55.79067,14,3,10,2022-08-26,5,0
8,"город Москва, улица Шумкина, дом 7",37.668358,55.790104,15,3,10,2022-08-26,5,0
9,"город Москва, улица Шумкина, дом 13",37.668868,55.788765,16,3,10,2022-08-26,6,0
10,"город Москва, улица Шумкина, дом 17/16",37.671248,55.78849,17,3,10,2022-08-26,6,0
11,"город Москва, Старослободская улица, дом 23",37.673098,55.788356,18,3,10,2022-08-26,6,0
12,"город Москва, Русаковская улица, дом 27",37.6759,55.787439,19,3,10,2022-08-26,7,0
13,"город Москва, Русаковская улица, дом 29",37.677182,55.787898,20,3,10,2022-08-26,7,0
14,"город Москва, Маленковская улица, дом 13/12",37.675261,55.788836,21,3,10,2022-08-26,7,0
15,"город Москва, улица Сокольническая Слободка, дом 10",37.675543,55.789919,22,3,10,2022-08-26,8,0
16,"город Москва, Сокольническая площадь, дом 4, корпус 1-2",37.676739,55.790166,23,3,10,2022-08-26,8,0
17,"город Москва, улица Сокольнический Вал, дом 46",37.672997,55.791089,24,3,10,2022-08-26,8,0
18,"город Москва, Сокольническая площадь, дом 9",37.680956,55.790967,25,3,10,2022-08-26,9,0
19,"город Москва, Сокольническая площадь, дом 9",37.681318,55.790335,26,3,10,2022-08-26,9,0
20,"город Москва, Сокольническая площадь, дом 9",37.681382,55.790296,27,3,10,2022-08-26,9,0
21,"город Москва, улица Стромынка, дом 1",37.68209,55.790526,28,3,10,2022-08-26,10,0
22,"город Москва, улица Стромынка, дом 1",37.682608,55.790675,29,3,10,2022-08-26,10,0
23,"город Москва, 2-й Полевой переулок, дом 4",37.682395,55.790819,30,3,10,2022-08-26,10,0
24,"город Москва, улица Стромынка, дом 5",37.683539,55.791319,31,3,10,2022-08-26,11,0
25,"город Москва, Охотничья улица, дом 6",37.686376,55.794819,32,3,10,2022-08-26,11,0
26,"город Москва, Егерская улица, дом 5, корпус 2",37.683548,55.795739,33,3,10,2022-08-26,11,0
27,"город Москва, Охотничья улица, дом 10/12, корпус 6",37.684069,55.796739,34,3,10,2022-08-26,12,0
28,"город Москва, улица Короленко, дом 2, корпус 1",37.688425,55.797251,35,3,10,2022-08-26,12,0
29,"город Москва, улица Короленко, дом 2, корпус 1",37.688458,55.79742,36,3,10,2022-08-26,12,0
30,"город Москва, улица Короленко, дом 2, корпус 1",37.688512,55.797278,37,3,10,2022-08-26,13,0
31,"город Москва, улица Короленко, дом 6Б",37.690429,55.79601,38,3,10,2022-08-26,13,0
32,"город Москва, Малая Остроумовская улица, дом 1",37.691199,55.794009,39,3,10,2022-08-26,13,0
33,"город Москва, улица Короленко, дом 10",37.69336,55.794658,40,3,10,2022-08-26,14,0
34,"город Москва, улица Стромынка, дом 14, корпус 2",37.692601,55.792556,41,3,10,2022-08-26,14,0
35,"город Москва, 1-я Боевская улица, дом 2/12, строение 3",37.6916,55.79204,42,3,10,2022-08-26,14,0
36,"город Москва, 1-я Боевская улица, дом 2/12, строение 3",37.691518,55.79217,43,3,10,2022-08-26,15,0
37,"город Москва, Бабаевская улица, дом 1/8, строение 3",37.688236,55.79113,44,3,10,2022-08-26,15,0
38,"город Москва, Бабаевская улица, дом 1/8, строение 3",37.688296,55.791032,45,3,10,2022-08-26,15,0
39,"город Москва, Русаковская улица, дом 28",37.682185,55.788538,46,3,10,2022-08-26,16,0
40,"город Москва, Русаковская улица, дом 28",37.682852,55.787923,47,3,10,2022-08-26,16,0
